icr_id,dimension,points,maximum,rationale,source_ids,locator,evidence_version
202405-0704-001,validation,3,5,"DoD cost expertise, historical eMASS costs and consultation; time assumptions not tested publicly.",SRC-0137;SRC-0138;SRC-0163;SRC-0164,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202405-0704-001,consistency,3,5,Arithmetic exact but10942 organizations seeking certification are not necessarily10942 distinct C3PAOs.,SRC-0137;SRC-0138;SRC-0163;SRC-0164,Items12–15 and ROCIS summary,M1-1.0.0
202405-0704-002,reproducibility,17,20,"SSA aggregates link to detailed RIA phases, occupations and cost categories; composite/phase-in mapping incomplete.",SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Item12,M1-1.0.0
202405-0704-002,provenance,11,15,"Final-rule2024 cost analysis and internal contractor comparators, but underlying observations restricted.",SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Items12–15 and footnotes,M1-1.0.0
202405-0704-002,segmentation,15,15,"Level2/3, size, assessment phases and internal/outsourced labor meaningfully separated.",SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Item12,M1-1.0.0
202405-0704-002,labor,8,10,RIA distinguishes30% internal loading from vendor prices including profit and51% federal loading; composite still difficult to recreate.,SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Item12,M1-1.0.0
202405-0704-002,item13,4,10,"Hardware/software/implementation totals reconstruct from unit totals, but no itemized assets, useful life, cohort or noncollection boundary.",SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Item13,M1-1.0.0
202405-0704-002,item14,7,10,Level3 workload by size and composite government rates; RIA adds grade/step/load method.,SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Item14,M1-1.0.0
202405-0704-002,item15,7,10,New collection with cross-control scope; no prior burden baseline.,SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Item15,M1-1.0.0
202405-0704-002,validation,3,5,"Internal expertise, previous assessments and adverse comments; first-pass assumption limits uncertainty.",SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202405-0704-002,consistency,3,5,Aggregate arithmetic close; RIA includes transcription issues and composite-source mapping is incomplete.,SRC-0139;SRC-0140;SRC-0156;SRC-0157;SRC-0163;SRC-0164,Items12–15 and ROCIS summary,M1-1.0.0
202405-0938-022,reproducibility,17,20,"Paper/electronic initial/resubmission counts, time and education formula clear.",SRC-0128;SRC-0129,Item12,M1-1.0.0
202405-0938-022,provenance,10,15,2022 BLS occupation and source explicit; workload origin and contractor costs less detailed.,SRC-0128;SRC-0129,Items12–15 and footnotes,M1-1.0.0
202405-0938-022,segmentation,12,15,Submission pathway and resubmissions distinguished; education separate.,SRC-0128;SRC-0129,Item12,M1-1.0.0
202405-0938-022,labor,6,10,Median health-support wage doubled; rationale broad and one role for all incremental tasks.,SRC-0128;SRC-0129,Item12,M1-1.0.0
202405-0938-022,item13,7,10,Postage explicit underItem12 and inROCIS nonlabor; capital zero defensible.,SRC-0128;SRC-0129,Item13,M1-1.0.0
202405-0938-022,item14,3,10,25.3million contractor review total lacks workload/unit price.,SRC-0128;SRC-0129,Item14,M1-1.0.0
202405-0938-022,item15,5,10,46999-hour adjustment stated but unchanged ROCIS responses contradict explanation of increased submissions.,SRC-0128;SRC-0129,Item15,M1-1.0.0
202405-0938-022,validation,2,5,Existing documentation scope reasoned; time and contractor assumptions not independently tested.,SRC-0128;SRC-0129,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202405-0938-022,consistency,3,5,"Main totals reconcile with rounding, but846015 postage differs from846013 package and unit typo says million.",SRC-0128;SRC-0129,Items12–15 and ROCIS summary,M1-1.0.0
202405-1218-005,reproducibility,17,20,Building-area exposure model andoutsourcing partitions clear; prose describes multiplication where division required.,SRC-0059;SRC-0060,Item12,M1-1.0.0
202405-1218-005,provenance,11,15,"EIA CBECS/MECS vintages,SOC/ECEC andindustry consultations identified; currentlinksnotarchives.",SRC-0059;SRC-0060,Items12–15 and footnotes,M1-1.0.0
202405-1218-005,segmentation,14,15,"Manufacturing/nonmanufacturing,customary85%,outsourced90%,inhouse10% meaningful.",SRC-0059;SRC-0060,Item12,M1-1.0.0
202405-1218-005,labor,8,10,"30.76/(1-.294)=43.57; occupation transparent, no separateoverhead.",SRC-0059;SRC-0060,Item12,M1-1.0.0
202405-1218-005,item13,8,10,"Price range42–59,midpoint50.5 andoutsourcedquantity explicit; survey age unclear.",SRC-0059;SRC-0060,Item13,M1-1.0.0
202405-1218-005,item14,5,10,Zero federalcost asserted; tagvisiblewithoutemployerdisclosure supports limitedincrementalburden.,SRC-0059;SRC-0060,Item14,M1-1.0.0
202405-1218-005,item15,9,10,"Oldnew hours,extinguisherstock,price andsurveyvintage table clear; effectsnotfullydecomposed.",SRC-0059;SRC-0060,Item15,M1-1.0.0
202405-1218-005,validation,4,5,Industryconsultations andeconomist verification ofsurveyvintage jump; datedcalibration of85/90%missing.,SRC-0059;SRC-0060,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202405-1218-005,consistency,2,5,Item13 prose calls9567848contracted butcalculationuses8611063; tablecallsassetsrespondents.,SRC-0059;SRC-0060,Items12–15 and ROCIS summary,M1-1.0.0
202405-1220-001,reproducibility,17,20,Annualandthree-yearhousehold/business totalsclear; mixedstudytimeaverage derivationabsent.,SRC-0171;SRC-0172,Item12,M1-1.0.0
202405-1220-001,provenance,10,15,CESAugust2023wageandhistoricalresearchbasis; futurestudycompositionnotfixed.,SRC-0171;SRC-0172,Items12–15 and footnotes,M1-1.0.0
202405-1220-001,segmentation,12,15,Household/businesssegments andscreeningacknowledged; moderated/unmoderatednotquantitativelyweighted.,SRC-0171;SRC-0172,Item12,M1-1.0.0
202405-1220-001,labor,6,10,Generalearnings33.82forbothhouseholdsandbusiness; nooccupationalmixforbusiness.,SRC-0171;SRC-0172,Item12,M1-1.0.0
202405-1220-001,item13,8,10,Nocapital/O&Mreasonableforshortresearchparticipation.,SRC-0171;SRC-0172,Item13,M1-1.0.0
202405-1220-001,item14,4,10,50000maximum incentives/ads; staffandlaboratorycostsexcludedasexistingwithoutallocation.,SRC-0171;SRC-0172,Item14,M1-1.0.0
202405-1220-001,item15,6,10,"Annualincrease2949statedwithnewtestingmethods, noquantifiedstudy-mixbridge.",SRC-0171;SRC-0172,Item15,M1-1.0.0
202405-1220-001,validation,3,5,Experiencewithpriortests supportsranges; genericclearance forecastsnotfuturestudyresults.,SRC-0171;SRC-0172,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202405-1220-001,consistency,3,5,Totalsreconcile; exclusionoftraveltimeandmixedmodeaverage limitsscopecompleteness.,SRC-0171;SRC-0172,Items12–15 and ROCIS summary,M1-1.0.0
202405-1506-005,reproducibility,17,20,Current aggregate formula reproduces; historical segmented model accessible in cited notice.,SRC-0184;SRC-0185;SRC-0191,Item12,M1-1.0.0
202405-1506-005,provenance,10,15,"2022 administrative counts and precise 2020 notice, but 2019 labor inputs carried forward.",SRC-0184;SRC-0185;SRC-0191,Items12–15 and footnotes,M1-1.0.0
202405-1506-005,segmentation,14,15,"Original/continuing, depository/nondepository, standard/extended and batch/discrete in historical method; no updated segment weights.",SRC-0184;SRC-0185;SRC-0191,Item12,M1-1.0.0
202405-1506-005,labor,6,10,2019 OEWS/ECEC historical weighting is explicit; recent average not refreshed.,SRC-0184;SRC-0185;SRC-0191,Item12,M1-1.0.0
202405-1506-005,item13,2,10,Item13 is mislabeled labor cost; nonlabor cost scope not separately established.,SRC-0184;SRC-0185;SRC-0191,Item13,M1-1.0.0
202405-1506-005,item14,5,10,"Filings times ten cents, but referenced internal unit-cost report not accessible.",SRC-0184;SRC-0185;SRC-0191,Item14,M1-1.0.0
202405-1506-005,item15,7,10,Old/new totals and population driver explicit; rounded coefficient changes bridge slightly.,SRC-0184;SRC-0185;SRC-0191,Item15,M1-1.0.0
202405-1506-005,validation,4,5,Conflicting comments assessed for sample representativeness; public administrative segmentation; time assumptions remain weak.,SRC-0184;SRC-0185;SRC-0191,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202405-1506-005,consistency,3,5,Labor placed in Item13; aggregate rounding and inherited time mix limit consistency.,SRC-0184;SRC-0185;SRC-0191,Items12–15 and ROCIS summary,M1-1.0.0
202405-1652-001,reproducibility,17,20,Year-specific populations and minute assumptions allow approximate reconstruction; displayed averages hide precision.,SRC-0035;SRC-0036,Item12,M1-1.0.0
202405-1652-001,provenance,12,15,"SOC/NAICS,employment weights,annual hours and four ECEC releases explicit.",SRC-0035;SRC-0036,Items12–15 and footnotes,M1-1.0.0
202405-1652-001,segmentation,15,15,"Career-stage pilot rate,small/large providers,new/existing STA andyears meaningful.",SRC-0035;SRC-0036,Item12,M1-1.0.0
202405-1652-001,labor,8,10,Entry-career tenth percentile defended; four-quarter ratio explicit; educational industries may overlap and weighting requires care.,SRC-0035;SRC-0036,Item12,M1-1.0.0
202405-1652-001,item13,7,10,Standard/reduced fee split clear but rounded counts do not reconstruct exact dollars; fee derivation external.,SRC-0035;SRC-0036,Item13,M1-1.0.0
202405-1652-001,item14,5,10,Fee Development Report named; fee recovery does not itself expose gross federal cost.,SRC-0035;SRC-0036,Item14,M1-1.0.0
202405-1652-001,item15,6,10,Rule changes and time reductions explicit; complete prior/new total bridge absent.,SRC-0035;SRC-0036,Item15,M1-1.0.0
202405-1652-001,validation,2,5,Administrative count projections but little direct timing evidence.,SRC-0035;SRC-0036,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202405-1652-001,consistency,2,5,Candidate totals29638 plus provider3958 differ from33594; notification responsibility language conflicts.,SRC-0035;SRC-0036,Items12–15 and ROCIS summary,M1-1.0.0
202406-1652-001,reproducibility,17,20,Detailed18activity rows; dominant checklist supported by FAA data; rounding precision mixed.,SRC-0037;SRC-0038,Item12,M1-1.0.0
202406-1652-001,provenance,11,15,OEWS source detail plus FAA extraction window; internal modular pay unavailable; ECEC publication/reference period confused.,SRC-0037;SRC-0038,Items12–15 and footnotes,M1-1.0.0
202406-1652-001,segmentation,15,15,Large/small operators andatomic activities; explicit growing population.,SRC-0037;SRC-0038,Item12,M1-1.0.0
202406-1652-001,labor,7,10,Employment-weighted occupation rates and ECEC ratio explicit; industry workforce mix may not match task mix.,SRC-0037;SRC-0038,Item12,M1-1.0.0
202406-1652-001,item13,8,10,CHRC count*fee explicit; remaining capital/O&M scope less developed.,SRC-0037;SRC-0038,Item13,M1-1.0.0
202406-1652-001,item14,8,10,Three federal workloads*loaded bands reconstruct to rounding; internal pay components inaccessible.,SRC-0037;SRC-0038,Item14,M1-1.0.0
202406-1652-001,item15,5,10,80hour correction explained; full population/wage changes not bridged.,SRC-0037;SRC-0038,Item15,M1-1.0.0
202406-1652-001,validation,3,5,FAA departures queried specific morning window; represents first flights only by proxy.,SRC-0037;SRC-0038,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202406-1652-001,consistency,2,5,Checklist narrative reports54658 instead of20.17m; table correct.,SRC-0037;SRC-0038,Items12–15 and ROCIS summary,M1-1.0.0
202408-1625-012,reproducibility,18,20,Appendix reconstructs allpopulation/activitytotals; some conservativecohortrounding.,SRC-0173;SRC-0174;SRC-0181,Item12,M1-1.0.0
202408-1625-012,provenance,10,15,"MISLEpopulation,OEWS2023SOCandCGcostinstruction; timeandfederalrateversionsnotfullyspecified.",SRC-0173;SRC-0174;SRC-0181,Items12–15 and footnotes,M1-1.0.0
202408-1625-012,segmentation,14,15,"Port,vessel,facility,OCS,new/annual/fiveyearanddeclarations distinguished.",SRC-0173;SRC-0174;SRC-0181,Item12,M1-1.0.0
202408-1625-012,labor,6,10,Complianceofficerwage+50%rounded58; loadingfactorasserted.,SRC-0173;SRC-0174;SRC-0181,Item12,M1-1.0.0
202408-1625-012,item13,8,10,Explicitzeroequipment/maintenance forplan/reportcollection; reasonlimited.,SRC-0173;SRC-0174;SRC-0181,Item13,M1-1.0.0
202408-1625-012,item14,6,10,Contract380000plusfacility1.92m;43units*.5FTEformula butLTwagerateomitted.,SRC-0173;SRC-0174;SRC-0181,Item14,M1-1.0.0
202408-1625-012,item15,8,10,980responses*2min=>33hprogramreduction linkedtoremovedaddendum.,SRC-0173;SRC-0174;SRC-0181,Item15,M1-1.0.0
202408-1625-012,validation,3,5,MISLEandoperationalexperience;100%stakeholderparticipationacknowledgedupperbound.,SRC-0173;SRC-0174;SRC-0181,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202408-1625-012,consistency,4,5,Appendix totalsreconcile; unique stakeholderoverlap andperiodicreviewpartition notfullyvalidated.,SRC-0173;SRC-0174;SRC-0181,Items12–15 and ROCIS summary,M1-1.0.0
202408-1652-002,reproducibility,12,20,Many atomic rows expose calculations but security-program subtotal wrong and application overlap unresolved.,SRC-0039;SRC-0040,Item12,M1-1.0.0
202408-1652-002,provenance,10,15,OEWS/ECEC specific sources; clerical ECEC URL points2020 despite2023 label; federal pay internal.,SRC-0039;SRC-0040,Items12–15 and footnotes,M1-1.0.0
202408-1652-002,segmentation,14,15,"Facilities,canine providers,certifiers andmultiple activities; some apparent duplication.",SRC-0039;SRC-0040,Item12,M1-1.0.0
202408-1652-002,labor,6,10,Employment-weighted cargo wage transparent; canine private wage uses federal salary proxy with limited justification.,SRC-0039;SRC-0040,Item12,M1-1.0.0
202408-1652-002,item13,4,10,41fee explicit but6959*41 does not equal281219; fee matches6859.,SRC-0039;SRC-0040,Item13,M1-1.0.0
202408-1652-002,item14,7,10,Six federal task categories largely reconcile; some precision and subtitle errors.,SRC-0039;SRC-0040,Item14,M1-1.0.0
202408-1652-002,item15,5,10,"Old16040/new17662 shown with response change, but no quantified driver attribution.",SRC-0039;SRC-0040,Item15,M1-1.0.0
202408-1652-002,validation,2,5,Agency activity estimates without calibration or ranges.,SRC-0039;SRC-0040,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202408-1652-002,consistency,0,5,"Large subtotal error, repeated new-certification burden and fee count mismatch.",SRC-0039;SRC-0040,Items12–15 and ROCIS summary,M1-1.0.0
202409-0560-007,reproducibility,18,20,34-row workbook reconstructs nearly all form burden; one.75-hour row error.,SRC-0141;SRC-0142;SRC-0155,Item12,M1-1.0.0
202409-0560-007,provenance,10,15,OEWS2023 SOCs and2024RUS federal pay; workload report not public here.,SRC-0141;SRC-0142;SRC-0155,Items12–15 and footnotes,M1-1.0.0
202409-0560-007,segmentation,14,15,Farmer and creditor roles with individual forms and nonform activities.,SRC-0141;SRC-0142;SRC-0155,Item12,M1-1.0.0
202409-0560-007,labor,5,10,Two unadjusted occupational wages; farmers called household income; no benefits.,SRC-0141;SRC-0142;SRC-0155,Item12,M1-1.0.0
202409-0560-007,item13,3,10,36000 appraisal purchases disclosed but Item13 denies purchases and ROCIS needs reconciliation.,SRC-0141;SRC-0142;SRC-0155,Item13,M1-1.0.0
202409-0560-007,item14,7,10,287810 workload hours and GS9–12 average+33.3% explicit; source workload report not attached.,SRC-0141;SRC-0142;SRC-0155,Item14,M1-1.0.0
202409-0560-007,item15,6,10,No change explained using pre-moratorium activity as forecast baseline.,SRC-0141;SRC-0142;SRC-0155,Item15,M1-1.0.0
202409-0560-007,validation,3,5,Prior workload and servicing experience; forecast restart assumptions uncertain.,SRC-0141;SRC-0142;SRC-0155,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202409-0560-007,consistency,3,5,"Workbook total matches SSA, but appraisal scope and one row conflict.",SRC-0141;SRC-0142;SRC-0155,Items12–15 and ROCIS summary,M1-1.0.0
202409-2126-001,reproducibility,17,20,Three stages and ten-minute times permit reconstruction; truncates each stage.,SRC-0009;SRC-0010,Item12,M1-1.0.0
202409-2126-001,provenance,3,15,21.92 wage lacks source/vintage/occupation; contract value supplied.,SRC-0009;SRC-0010,Items12–15 and footnotes,M1-1.0.0
202409-2126-001,segmentation,13,15,"Pretest,pilot,main survey are distinct and proportionate.",SRC-0009;SRC-0010,Item12,M1-1.0.0
202409-2126-001,labor,2,10,Unloaded/loaded status and wage provenance missing.,SRC-0009;SRC-0010,Item12,M1-1.0.0
202409-2126-001,item13,6,10,Zero asserted; online collection makes plausible but not explained.,SRC-0009;SRC-0010,Item13,M1-1.0.0
202409-2126-001,item14,8,10,Incremental35950.25 task isolated within649910.53 broader contract.,SRC-0009;SRC-0010,Item14,M1-1.0.0
202409-2126-001,item15,7,10,New ICR clearly identified; Item15 N/A less useful than explicit zero-to-new bridge.,SRC-0009;SRC-0010,Item15,M1-1.0.0
202409-2126-001,validation,1,5,Prospective pretest/pilot not evidence of validated response time yet.,SRC-0009;SRC-0010,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202409-2126-001,consistency,3,5,Small hour truncation; annualization of one-time base-year work unclear.,SRC-0009;SRC-0010,Items12–15 and ROCIS summary,M1-1.0.0
202409-3235-022,reproducibility,20,20,1998*.05=99.90 and wage product exact; table preserves fractional hours.,SRC-0011;SRC-0012,Item12,M1-1.0.0
202409-3235-022,provenance,9,15,2023 administrative filings precise;2013 SIFMA pay and unspecified inflation unavailable to fully reconstruct.,SRC-0011;SRC-0012,Items12–15 and footnotes,M1-1.0.0
202409-3235-022,segmentation,14,15,1568 advisers distinct from1998 filings; examinations and terminations identified.,SRC-0011;SRC-0012,Item12,M1-1.0.0
202409-3235-022,labor,4,10,"2.93 loading and1800-hour year disclosed but base salary,inflation chain missing.",SRC-0011;SRC-0012,Item12,M1-1.0.0
202409-3235-022,item13,8,10,Cover sheet zero plausible; accountant examination requirement separately scoped to other rule.,SRC-0011;SRC-0012,Item13,M1-1.0.0
202409-3235-022,item14,4,10,Insignificant federal cost asserted with workflow explanation but no quantity.,SRC-0011;SRC-0012,Item14,M1-1.0.0
202409-3235-022,item15,9,10,"Old/new filings,hours,labor dollars shown and population explanation; wage effect not independently decomposed.",SRC-0011;SRC-0012,Item15,M1-1.0.0
202409-3235-022,validation,3,5,Observed filings support frequency;three-minute time remains estimate.,SRC-0011;SRC-0012,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202409-3235-022,consistency,5,5,99.9 to100 ROCIS rounding consistent.,SRC-0011;SRC-0012,Items12–15 and ROCIS summary,M1-1.0.0
202410-0910-013,reproducibility,18,20,"CFR-level population, frequency and time tables; rows and monetary role groups exposed.",SRC-0083;SRC-0084,Item12,M1-1.0.0
202410-0910-013,provenance,8,15,2023 median occupational wages cited; burden assumptions largely inherited.,SRC-0083;SRC-0084,Items12–15 and footnotes,M1-1.0.0
202410-0910-013,segmentation,14,15,"Human/animal food and reporting, records, disclosure requirements separated.",SRC-0083;SRC-0084,Item12,M1-1.0.0
202410-0910-013,labor,5,10,Three role groups priced; generic doubling combines benefits and overhead without derivation.,SRC-0083;SRC-0084,Item12,M1-1.0.0
202410-0910-013,item13,4,10,Blanket no capital or maintenance statement lacks implementation/system scope analysis.,SRC-0083;SRC-0084,Item13,M1-1.0.0
202410-0910-013,item14,2,10,50000 inquiry-response budget without workload or staff rates.,SRC-0083;SRC-0084,Item14,M1-1.0.0
202410-0910-013,item15,7,10,Duplicate animal-food disclosure removed with quantified effect; remaining changes not fully decomposed.,SRC-0083;SRC-0084,Item15,M1-1.0.0
202410-0910-013,validation,3,5,Agency experience and correction of duplicate requirement; little measured timing evidence.,SRC-0083;SRC-0084,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202410-0910-013,consistency,3,5,Totals and labor groups reconcile; minor rounding from half-hour activities.,SRC-0083;SRC-0084,Items12–15 and ROCIS summary,M1-1.0.0
202410-0960-002,reproducibility,15,20,Mode counts/times and extra burdens exposed but ROCIS bridge does not reconstruct.,SRC-0013;SRC-0014,Item12,M1-1.0.0
202410-0960-002,provenance,8,15,Administrative wait/interview sources identified; wage citations and role mapping garbled.,SRC-0013;SRC-0014,Items12–15 and footnotes,M1-1.0.0
202410-0960-002,segmentation,15,15,"Individual/representative and paper/interview/internet paths;wait,travel,learning separately.",SRC-0013;SRC-0014,Item12,M1-1.0.0
202410-0960-002,labor,4,10,Beneficiary versus representative value distinction useful; wage derivation unclear.,SRC-0013;SRC-0014,Item12,M1-1.0.0
202410-0960-002,item13,7,10,Known other costs zero; opportunity value distinct from out-of-pocket charges.,SRC-0013;SRC-0014,Item13,M1-1.0.0
202410-0960-002,item14,4,10,Cost-factor table present but processing hours/rates absent;table/prose totals differ.,SRC-0013;SRC-0014,Item14,M1-1.0.0
202410-0960-002,item15,4,10,"Old584756,new842365 and ROCIS986339 disclosed but change not fully reconciled.",SRC-0013;SRC-0014,Item15,M1-1.0.0
202410-0960-002,validation,4,5,Actual interview and management data;travel assumptions candid and OIRA-directed spatial estimate.,SRC-0013;SRC-0014,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202410-0960-002,consistency,1,5,Extra-hour bridge and federal sum disagree; learning burden may overlap described base scope.,SRC-0013;SRC-0014,Items12–15 and ROCIS summary,M1-1.0.0
202410-3150-005,reproducibility,18,20,Six technical sections and a formula workbook preserve CFR-level workload and totals.,SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Item12,M1-1.0.0
202410-3150-005,provenance,9,15,"Dates, CFRs, fee rule and experience identified; time and storage coefficients less independently grounded.",SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Items12–15 and footnotes,M1-1.0.0
202410-3150-005,segmentation,15,15,"Applications, reactor types, records, inspections and standards have meaningful separate rows.",SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Item12,M1-1.0.0
202410-3150-005,labor,3,10,NRC fee rate of $300 is used for private and federal labor without occupational mapping; section2 cites2023 fee rule whereas overview cites2020.,SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Item12,M1-1.0.0
202410-3150-005,item13,4,10,Storage equals .0004 of recordkeeping labor cost; proxy coefficient has no accessible derivation.,SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Item13,M1-1.0.0
202410-3150-005,item14,7,10,Technical workload by section times fee rate; resource mix and overhead components hidden in fee proxy.,SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Item14,M1-1.0.0
202410-3150-005,item15,9,10,"Section-level previous/current bridges and CFR driver explanations, including a418894-hour transfer; not every input interaction isolated.",SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Item15,M1-1.0.0
202410-3150-005,validation,4,5,"Stakeholder challenge and NRC responses preserved, including opposing estimates and one added requirement.",SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202410-3150-005,consistency,4,5,Main and workbook totals agree within whole-hour rounding; some section deltas differ by one hour.,SRC-0113;SRC-0114;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0123;SRC-0136,Items12–15 and ROCIS summary,M1-1.0.0
202410-7100-005,reproducibility,16,20,"Counts,frequency,times and six main rows exposed; rounded times create modest differences.",SRC-0041;SRC-0042,Item12,M1-1.0.0
202410-7100-005,provenance,9,15,NIC entity source and May2023 BLS date precise; inherited CFPB timing methodology not specifically linked.,SRC-0041;SRC-0042,Items12–15 and footnotes,M1-1.0.0
202410-7100-005,segmentation,13,15,Regulatory task segmentation with small-entity count; same time by bank size.,SRC-0041;SRC-0042,Item12,M1-1.0.0
202410-7100-005,labor,5,10,"Four-occupation labor mix explicit, but weights unsupported and benefits not included.",SRC-0041;SRC-0042,Item12,M1-1.0.0
202410-7100-005,item13,2,10,Distinct nonlabor cost analysis not located in complete statement.,SRC-0041;SRC-0042,Item13,M1-1.0.0
202410-7100-005,item14,3,10,Federal cost negligible asserted without quantities.,SRC-0041;SRC-0042,Item14,M1-1.0.0
202410-7100-005,item15,5,10,Renewal changes described elsewhere; old/new driver bridge limited.,SRC-0041;SRC-0042,Item15,M1-1.0.0
202410-7100-005,validation,2,5,Administrative population; timing inherited but validation chain incomplete.,SRC-0041;SRC-0042,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202410-7100-005,consistency,3,5,Rounding sub-hour self-test activities to zero and rounded rates explains limited discrepancies.,SRC-0041;SRC-0042,Items12–15 and ROCIS summary,M1-1.0.0
202411-1218-005,reproducibility,16,20,Task tables largely reproduce366 employer and1708 federal hours; site-visit unit denominator unclear.,SRC-0015;SRC-0016,Item12,M1-1.0.0
202411-1218-005,provenance,10,15,OEWS2023 SOC and OPM2024 reference; ECEC live URL and rate mismatch.,SRC-0015;SRC-0016,Items12–15 and footnotes,M1-1.0.0
202411-1218-005,segmentation,12,15,Five employer and ten federal activities; uniform HR assistant for technical work weak.,SRC-0015;SRC-0016,Item12,M1-1.0.0
202411-1218-005,labor,5,10,Formula wage/(1-benefit share) sound but31.7% prose versus31.2% table and stale34.35 footnote.,SRC-0015;SRC-0016,Item12,M1-1.0.0
202411-1218-005,item13,6,10,No extra costs asserted because Item12 covers all; no detailed treatment of copying/mailing.,SRC-0015;SRC-0016,Item13,M1-1.0.0
202411-1218-005,item14,8,10,GS13/5 rate and task hours detailed; incremental overhead exclusions justified; no fringe detail.,SRC-0015;SRC-0016,Item14,M1-1.0.0
202411-1218-005,item15,8,10,Explicit retain366 with no changes and package comparison permits unchanged bridge.,SRC-0015;SRC-0016,Item15,M1-1.0.0
202411-1218-005,validation,2,5,Agency experience and small population stated; no timing evidence.,SRC-0015;SRC-0016,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202411-1218-005,consistency,2,5,Fringe and site-visit statements inconsistent despite totals.,SRC-0015;SRC-0016,Items12–15 and ROCIS summary,M1-1.0.0
202411-1651-004,reproducibility,16,20,24*12*4 clear; notice says4minutes instead of4hours.,SRC-0043;SRC-0044,Item12,M1-1.0.0
202411-1651-004,provenance,11,15,"OEWS/ECEC/BEA exact sources,years,inputs; internal federal pay email identified but inaccessible.",SRC-0043;SRC-0044,Items12–15 and footnotes,M1-1.0.0
202411-1651-004,segmentation,10,15,Pilot importers homogeneous assumption; no industry segment times.,SRC-0043;SRC-0044,Item12,M1-1.0.0
202411-1651-004,labor,8,10,Median cargo/freight proxy plus occupational benefits and explicit GDP price transformation.,SRC-0043;SRC-0044,Item12,M1-1.0.0
202411-1651-004,item13,1,10,Unpriced provider fee netted against broad industry savings; no gross collection-cost estimate.,SRC-0043;SRC-0044,Item13,M1-1.0.0
202411-1651-004,item14,2,10,288responses*2hours asserted to equal10hours; substantive error.,SRC-0043;SRC-0044,Item14,M1-1.0.0
202411-1651-004,item15,7,10,New collection clear; explicit zero-to-new table absent.,SRC-0043;SRC-0044,Item15,M1-1.0.0
202411-1651-004,validation,2,5,13 Canadian exporters inform claimed savings but extrapolation not supplied.,SRC-0043;SRC-0044,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202411-1651-004,consistency,0,5,Hours/minutes conflict; federal multiplication wrong; net savings do not establish zero gross costs.,SRC-0043;SRC-0044,Items12–15 and ROCIS summary,M1-1.0.0
202411-1652-007,reproducibility,18,20,Two main burdens reconstruct; tiny Form600 burden explicitly omitted.,SRC-0017;SRC-0018,Item12,M1-1.0.0
