icr_id,label,formula,calculated,reported,difference,unit,source_id,arithmetic_status,interpretation
202506-2130-004,Paperhours,918351*8/60,122446.8,119385.63,3061.1699999999983,hours,SRC-0070,difference_requires_interpretation,Materialprematurerounding
202506-2130-004,Populationrecords,85712*210,17999520,18367020,-367500,records,SRC-0070,difference_requires_interpretation,Materialdiscrepancy
202506-2130-004,Softwarecost,247500*1.0336,255816.00000000003,255816,2.9103830456733704e-11,USD,SRC-0070,exact,Exact
202506-2130-004,Federalcost,2*157982.4*.25+12066.88+4239.2+9050.16+1589.7,105937.14,105937.14,0.0,USD,SRC-0070,exact,Exact
202507-1902-004,Prior master,20160+11760+188040+50640+188040+50640+593760,1103040,1103040,0,hours,SRC-0072,exact,Exact
202507-1902-004,Current hours,1103040+97*4,1103428,1103428,0,hours,SRC-0072,exact,Exact
202507-1902-004,Weighted rate,.75*79.31+.25*44.74,70.6675,70.67,-0.0024999999999977263,USD/hour,SRC-0072,within_display_rounding,Rounding
202507-1902-004,Transfer subtotal,7776+8904,16680,18680,-2000,hours,SRC-0072,difference_requires_interpretation,2000-hour discrepancy
202508-1218-005,Change bridge,"sum([0,12314,13972,1302,-2450,353,4874,11776,2349,-914,-50079,-50777,68,984,0])",-56228,-56228,0,hours,SRC-0187,exact,Exact delta table sum.
202508-1218-005,Total burden,"sum([29037,32946,3071,94730,45744,37460,160248,304614,12935,564893,718590,174,264624])",2269066,2269066,0,hours,SRC-0187,exact,Subtotal reconstruction.
202508-1218-005,Hot work responses,6207*18,111726,126288,-14562,responses,SRC-0187,difference_requires_interpretation,Legacy response column conflicts with current population.
202508-1218-005,Engineer loaded,56.90/.705,80.70921985815603,80.71,-0.0007801418439612462,USD/hour,SRC-0187,within_display_rounding,Rounding.
202508-1652-001,Federal annual dollars,(153260+157134+160230)/3*1000,156874666.66666666,156875000,-333.33333334326744,USD,SRC-0048,difference_requires_interpretation,Rounding to nearest thousand
202508-1652-001,New hours,300000*2/60,10000.0,10000,0.0,hours,SRC-0048,exact,Exact
202508-1652-001,Loaded ticket agent,22.94*35.82/24.90,33.00043373493976,33,0.0004337349397616208,USD/hour,SRC-0048,within_display_rounding,Rounding
202508-2126-007,Weightdenominator,2044400+1003960+594230+184990,3827580,3490010,337570,drivers,SRC-0074,difference_requires_interpretation,Materialdiscrepancy
202508-2126-007,Nonlabor total,23530000+1612000000,1635530000,1620600000,14930000,USD,SRC-0074,difference_requires_interpretation,Materialadditionerror
202508-2126-007,Carrierchange,576190000-507060000,69130000,374930000,-305800000,USD,SRC-0074,difference_requires_interpretation,Materialsubtractionerror
202508-2126-007,Exactcarrierhours,4450000*240*.5*2/60,17800000.0,17800000,0.0,hours,SRC-0074,exact,Summaryreconstructs;Table417.84mdoesnot
202509-2060-003,Hours bridge,214000+83882,297882,297882,0,hours,SRC-0092,exact,Exact
202509-2060-003,Response bridge,6900+3161,10061,10061,0,responses,SRC-0092,exact,Exact
202509-2060-003,Baseline O&M,110*1000,110000,110000,0,USD,SRC-0092,exact,Exact
202509-2060-003,Three-year testing,9860*6/3,19720.0,17748,1972.0,technical hours,SRC-0092,difference_requires_interpretation,1972-hour understatement relative to stated every-three-year frequency
202511-0583-005,Main categories,2142788+113202+4786793+2500,7045283,7045283,0,hours,SRC-0135,exact,Exact.
202511-0583-005,Labor,7045283*107.04,754127092.32,754127022,70.32000005245209,USD,SRC-0135,difference_requires_interpretation,70.32 difference.
202511-0583-005,Federal,882710*47.91,42290636.099999994,42290636,0.09999999403953552,USD,SRC-0135,within_display_rounding,Whole-dollar rounding.
202511-0583-005,SOP review responses,899340+582140+350100,1831580,1582620,248960,responses,SRC-0135,difference_requires_interpretation,Total incorrectly retains260-day high-volume frequency.
202511-0583-005,HACCP weekly review,6087*.25*52,79131.0,100000,-20869.0,hours,SRC-0135,difference_requires_interpretation,Population/frequency do not reproduce federal claim.
202511-1545-005,Hours bridge,935100000-5100000-74000000+9000000+1000000-9000000,857000000,857000000,0,hours,SRC-0094,exact,Exact
202511-1545-005,Time dollars bridge,56152000000-3362000000-215000000,52575000000,52575000000,0,USD,SRC-0094,exact,Exact
202511-1545-005,OOP bridge,71617000000+8044000000-442000000,79219000000,79219000000,0,USD,SRC-0094,exact,Exact
202511-1545-005,Federal processing,9655592+2601760,12257352,13571960,-1314608,USD,SRC-0094,difference_requires_interpretation,Material subtotal discrepancy
202602-0607-001,Hours,174500*.75+47500*202/60+8000*38/60,295858.3333333333,295858,0.3333333333139308,hours,SRC-0050,within_display_rounding,One-hour rounding
202602-0607-001,Labor,295858*44.96,13301775.68,13301776,-0.3200000002980232,USD,SRC-0050,within_display_rounding,Rounding
202602-0607-001,Transfer,47500*157/60,124291.66666666667,124450,-158.33333333332848,hours,SRC-0050,difference_requires_interpretation,Not explained by whole-hour rounding
202602-2060-006,Hourbridge,59100+2420,61520,61520,0,hours,SRC-0154,exact,Exact.
202602-2060-006,Costbridge,2770000-180000,2590000,2590000,0,USD,SRC-0154,exact,Exact.
202602-2060-006,Technicalrate,54.33*2.1,114.093,70.31,43.783,USD/hour,SRC-0154,difference_requires_interpretation,43.783differencefrommisprintedwagetable; workloaduses114.09.
202602-2060-006,Baseline record capital,171*200,34200,11401,22799,USD,SRC-0154,difference_requires_interpretation,Displayedpopulationandpricecannotreproduceannualcapital.
202602-3170-003,Hours,136*(6776+4330+4),1510960,1510960,0,hours,SRC-0052,exact,Exact
202602-3170-003,Labor,1510960*66.33,100221976.8,100221975,1.7999999970197678,USD,SRC-0052,difference_requires_interpretation,Rate precision not exposed
202602-3170-003,Item13,136*(10114+133),1393592,1393592,0,USD,SRC-0052,exact,Exact
202603-0535-001,Hours,196035+10924,206959,206959,0,hours,SRC-0189,exact,Exact aggregate.
202603-0535-001,Labor,206959*45.32,9379381.88,9379381.88,0.0,USD,SRC-0189,exact,Exact.
202603-0535-001,Bridge,190943+15087+929,206959,206959,0,hours,SRC-0189,exact,Exact.
202603-0535-001,Sample count,447630+157970,605600,596600,9000,sample units,SRC-0189,difference_requires_interpretation,9000 discrepancy; overlap not established.
202603-1210-004,Unique plans,2765373+214124+836843+520016,4336356,4336356,0,plans,SRC-0096,exact,Exact
202603-1210-004,Health postapproval hours,1487937787/60,24798963.116666667,24798963,0.11666666716337204,hours,SRC-0096,within_display_rounding,Rounding
202603-1210-004,Medical denial hours,82235*8.67,712977.45,712703,274.44999999995343,hours,SRC-0096,difference_requires_interpretation,Rounded displayed duration; underlying likely26/3
202606-1652-001,Respondent hours,510+8040+8040+5360+10+5+2+180+20,22167,22167,0,hours,SRC-0022,exact,Exact sum of rounded rows
202606-1652-001,Federal hours,408+536+199*.083+200,1160.517,881,279.51700000000005,hours,SRC-0022,difference_requires_interpretation,Material discrepancy
202606-1652-001,Federal table hours,408+536+5+200,1149,881,268,hours,SRC-0022,difference_requires_interpretation,Even printed rows do not sum
202606-1652-001,ROCIS hour bridge,134023-111092-764,22167,22167,0,hours,SRC-0022,exact,Exact package bridge;not driver attribution
202606-1652-001,J-loaded pay,(161486+55926)/2087,104.17441303306181,104.17,0.0044130330618088465,USD/hour,SRC-0022,within_display_rounding,Rounding
202606-1652-002,Forecastfirstyear,167975*1.0101,169671.5475,170454,-782.452500000014,persons,SRC-0054,difference_requires_interpretation,Doesnot reproduce
202606-1652-002,Surveyhours,172904*.10*.03,518.712,5187,-4668.2880000000005,hours,SRC-0054,difference_requires_interpretation,Factor10summary discrepancy
202606-1652-002,Agentpathway share,.44+.56+.52*.60,1.312,1,0.31200000000000006,share,SRC-0054,within_display_rounding,Paths sum1.312; apparent doublecount
202606-1652-002,Three yearhours,253812+259516+255933,769261,769255,6,hours,SRC-0054,difference_requires_interpretation,Six-hour difference
